06.03.2023 13:32:22.105 INFO  r.s.S.H.CommandHandler - Gunhsik click: back
06.03.2023 13:32:24.245 INFO  r.s.S.H.CommandHandler - Gunhsik click: menu button
06.03.2023 13:32:39.427 INFO  r.s.S.H.CommandHandler - Gunhsik click: past events
06.03.2023 13:32:42.440 INFO  r.s.S.H.CommandHandler - Gunhsik click: menu button
06.03.2023 13:32:44.036 INFO  r.s.S.H.CommandHandler - Gunhsik click: future events
06.03.2023 13:32:46.589 INFO  r.s.S.H.CommandHandler - Gunhsik click: 4
06.03.2023 13:32:52.417 INFO  r.s.S.H.CommandHandler - Gunhsik click: future event 4
06.03.2023 13:32:56.353 INFO  r.s.S.H.CommandHandler - Gunhsik click: future event 1
06.03.2023 13:33:00.680 INFO  r.s.S.H.CommandHandler - Gunhsik click: future event 2
06.03.2023 13:33:04.609 INFO  r.s.S.H.CommandHandler - Gunhsik click: future event 3
06.03.2023 13:33:06.226 INFO  r.s.S.H.CommandHandler - Gunhsik click: future event 4
06.03.2023 13:34:26.191 INFO  r.s.S.H.CommandHandler - Ivan_MSS input: /events
06.03.2023 13:34:29.845 INFO  r.s.S.H.CommandHandler - Ivan_MSS click: future events
06.03.2023 13:34:31.977 INFO  r.s.S.H.CommandHandler - Ivan_MSS click: 1
06.03.2023 13:34:42.179 INFO  r.s.S.H.CommandHandler - Ivan_MSS click: back
06.03.2023 13:34:45.432 INFO  r.s.S.H.CommandHandler - Ivan_MSS click: 4
06.03.2023 13:35:05.680 INFO  r.s.S.H.CommandHandler - Ivan_MSS click: future event 4
06.03.2023 13:35:13.971 INFO  r.s.S.H.CommandHandler - Ivan_MSS click: future event 1
06.03.2023 13:35:19.474 INFO  r.s.S.H.CommandHandler - Ivan_MSS click: back
06.03.2023 13:35:21.126 INFO  r.s.S.H.CommandHandler - Ivan_MSS click: 1
06.03.2023 13:35:30.900 INFO  r.s.S.H.CommandHandler - Ivan_MSS click: future event 1
06.03.2023 13:36:15.471 INFO  r.s.S.H.CommandHandler - Ivan_MSS click: future event 2
06.03.2023 13:38:23.102 INFO  r.s.S.H.CommandHandler - Gunhsik click: future event 1
06.03.2023 13:42:11.373 INFO  r.s.S.H.CommandHandler - Ivan_MSS click: back
06.03.2023 13:42:23.107 INFO  r.s.S.H.CommandHandler - Ivan_MSS click: join all
06.03.2023 13:43:12.484 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 11728 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 13:43:12.492 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 13:43:32.613 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 21.225 seconds (JVM running for 24.091)
